Page ID,Page name,Disclaimer,Amount spent (USD)
265646113605315,Phillip Pettus State Representative District 1,Friends of Phillip Pettus,1960
110505091406474,Joshua McLaughlin for Limestone County Sheriff,Friends of Joshua McLaughlin,1935
1435071773455316,Daily Wire,The Daily Wire,1877
107529738469698,Wilson Hale for Sheriff,Campaign to Elect Wilson Hale for Jefferson County Sheriff,1867
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,1861
110445237851265,Casey for Congress,Casey for Congress,1822
105576028300637,Building Back Together,Building Back Together,1821
444587112401544,"Health Services, Inc.",Health Services Inc,1790
6406874733,Mike Rogers,MIKE ROGERS FOR CONGRESS,1765
405843252954565,Troy Stubbs for State House,Troy Stubbs for State House,1764
110961297926154,Jerry Starnes for House District 88,JERRY STARNES FOR HOUSE OF REPRESENTATIVE JERRY STARNES,1740
107634726557683,Katie440,Katie Exum Candidate State House District 40,1725
299076827204864,Councilor Hunter Williams,"Birmingham Events, Visitors & Tourism",1723
15771560300,Earthjustice,EARTHJUSTICE,1679
110666905614083,Dial,HENKEL CORP,1675
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,1670
108931451729260,Judge David Puckett,FRIENDS TO KEEP JUDGE PUCKETT,1668
174496623846,Bill Lester for STATE LEGISLATURE- District 40,Bill Lester for Alabama House,1652
115329801149952,Gulf Gathering for Climate Justice and Joy,Green New Deal Network,1646
101352368832348,Joe Jones for County Commission District 4,Friends to Elect Joe Jones,1640
2353537341582545,Proud Patriots,Proud Patriots,1639
114008535880,Foundation for Individual Rights in Education,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,1614
570092813023833,Matt Walsh,The Daily Wire,1608
30914589895,The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,1593
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",1538
273755764379,Dean Young for Alabama,Larry Dean Young,1521
928750237161799,Kerry “Bubba” Underwood State House District 3,Kerry Underwood Campaign,1497
113709691218143,John Williams for District Court Judge,John Williams for District Court Judge,1480
1450443835060891,Robert Byrd for Coroner,Robert Byrd for Coroner,1466
115985765081573,Campaign Legal Center,"CAMPAIGN LEGAL CENTER, INC, THE",1455
100701055638182,Sebrina Martin for Montgomery County Circuit Judge,Sebrina Martin for Circuit Judge,1448
581738008544943,Greg Reed,PAID FOR BY COMMITTEE TO ELECT GREG REED,1438
102391291904684,Marcus Flowers For Congress,Marcus Flowers for Congress,1438
108695454868321,Johnson for Judge,Nathan Johnson Campaign,1432
107327091714258,Summer McWhorter Summerford for District Attorney,Summer McWhorter Summerford Campaign,1424
623576354385925,State Representative Tim Wadsworth,Committee to Elect Tim Wadsworth,1401
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,1393
635182953184120,Randy Price,Randy Price for Alabama Senate District 13,1390
186805048171120,U.S. LawShield,U.S. LawShield,1390
80562389320,NARAL Pro-Choice America,NARAL PRO-CHOICE AMERICA CORP,1372
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",1366
114720264544782,Moving Forward,Seniors Today USA,1351
366314673510526,Tim Melson for State Senate,Tim Melson for State Senate,1334
