Page ID,Page name,Disclaimer,Amount spent (GBP)
1638760386212220,The Women's Equality Party Basingstoke,The Women's Equality Party,≤100
1671883189496059,Plaid Cymru Sir Gâr / Carmarthenshire Plaid,Plaid Cymru,≤100
104379998876234,Diane Forsythe MLA,Diane Jane Forsythe,≤100
165159950237597,Canal & River Trust,These ads ran without a disclaimer,≤100
813362708790951,UBP - Union Bancaire Privée,UBP - Union Bancaire Privée,≤100
186622728032,RSPB Love Nature,RSPB,≤100
13533633585,National Trust,National Trust,≤100
303381303198329,Local Government Boundary Commission for England,LGBCE,≤100
978189968857984,Neil Coyle MP,Neil Coyle MP,≤100
113774459487,Seedrs,Seedrs,≤100
423102764508147,Patrick Brown MLA,Mr Patrick Johnson Brown,≤100
450493248432578,Scotland in Union,Scotland in Union,≤100
411190639078647,Croydon Conservatives,Croydon Conservative Federation,≤100
407011996023516,Vineyard Compassion,Vineyard Compassion,≤100
286748251958375,Eco House Solutions,Eco House Solutions,≤100
106805084894703,TOPIA Magazine,TOPIA Magazine,≤100
115774426806056,Novus,Novus,≤100
626987914308883,PlanetCare,These ads ran without a disclaimer,≤100
18933154958,CARE International UK,CARE International UK,≤100
705825476138789,Hubbub,Hubbub,≤100
257186392196,STOP THE TRAFFIK,STOP THE TRAFFIK with Facebook Ad Credits,≤100
227427673437,Tree Aid,Tree Aid,≤100
106205865302441,Just Stop Oil,Just Stop Oil,≤100
124021824381533,The Daily Reminder,TDR Network,≤100
1478794985680451,Sunderland Conservatives,Sunderland Conservative Association,≤100
1058947064227277,10X Growth Conference,These ads ran without a disclaimer,≤100
101628709148353,PINIGAI.co.uk,These ads ran without a disclaimer,≤100
2012016282357890,Paul Givan MLA,Paul Jonathan Givan,≤100
100538978233025,Join Bradford District Care Foundation Trust,Just R Ltd,≤100
6233536938,War Child UK,War Child UK,≤100
136308776480,Scottish Conservatives,"and promoted by James Tweedie on behalf of the Scottish Conservative & Unionist Party, both of 67 Northumberland Street, Edinburgh, EH3 6JG",≤100
2217967698531116,Ardent Theatre Company,Ardent Theatre Company,≤100
232149274611938,Fashion Minority Alliance,Fashion Minority Alliance,≤100
108238670527130,Robbie Moore MP,Robert Peter Moore,≤100
110754461415858,Wootton & Kempston Rural Liberal Democrats,Bedford Liberal Democrats,≤100
193667867322995,Taylor Wimpey,These ads ran without a disclaimer,≤100
144289436063611,Drax,Drax Corporate Limited,≤100
100574382093839,South Hams Climate Action Network,South Hams Climate Action Network,≤100
2435680456708504,Path Financial,The Path Financial Ltd,≤100
164851239572,Women for Women International - UK,Women for Women International - UK,≤100
268801635305,Breast Cancer Now,Breast Cancer Now,≤100
1188676434499346,HB Reavis,These ads ran without a disclaimer,≤100
1313354295370593,Scottish Family Party,Scottish Family Party,≤100
1660600037490738,Guardian Labs,Guardian Labs,≤100
119937274824522,Derbyshire Police and Crime Commissioner,Timothy Parkin,≤100
108103688272635,Federalist Connection UK,Alex Gunter,≤100
121872441181818,Compassion UK,Compassion UK,≤100
144233225604048,Clarins,Clarins,≤100
1545511665561177,EcoVibe,Ecovibe,≤100
340911859327072,"Lewes Liberal Democrats: for Lewes, Newhaven, Polegate and Seaford",Lewes Liberal Democrats,≤100
216135638510823,ConversionWise,These ads ran without a disclaimer,≤100
190194154347100,Llywodraeth Cymru,Llywodraeth Cymru,≤100
136947456324734,CARE Fertility,CARE Fertility,≤100
113085213446447,Cambridge SU,Cambridge SU,≤100
100460115820499,Recork,Recork,≤100
169161123102605,Milton Keynes Liberal Democrats,Milton Keynes Liberal Democrats,≤100
797035653668148,Barnet Labour,Barnet Labour Party,≤100
498589103493371,Longwater Construction Supplies,These ads ran without a disclaimer,≤100
128993570121,Environmental Justice Foundation,Environmental Justice Foundation,≤100
111404864782073,Zero Hour Devon,Zero Hour Devon,≤100
85412112798,Feel Good Drinks,These ads ran without a disclaimer,≤100
785572394917147,Swansea Labour Councillors,Swansea Labour,≤100
106946654868342,Water's Worth Saving,Water UK,≤100
144873565563070,Desenio,These ads ran without a disclaimer,≤100
0,Instagram User 2515064994,These ads ran without a disclaimer,≤100
392011914244276,Muneeb Shakil Kazi,These ads ran without a disclaimer,≤100
167898406587045,Holiday Extras,Holiday Extras,≤100
107238498556917,PSYCH Global,These ads ran without a disclaimer,≤100
144907535568790,Rooster Teeth,These ads ran without a disclaimer,≤100
345382132326295,Barnet Council,Barnet Council,≤100
