Page ID,Page name,Disclaimer,Amount spent (GBP)
387294498330958,Cllr Gareth Richards,David Gareth Richards,190
895296173972425,air up,These ads ran without a disclaimer,190
582560091776654,Iron & Velvet - Plastic Free Cleaning Products,Iron & Velvet - Plastic Free Cleaning Products,190
257186392196,STOP THE TRAFFIK,STOP THE TRAFFIK with Facebook Ad Credits,186
88236679583,Welsh Parliament,Welsh Parliament,184
111089248193288,Lee Thacker - Welsh Liberal Democrats - Brynna & Llanharan,RCT Liberal Democrats,182
102563495226123,Oltco Ltd,Oltco Ltd,179
6366026879,Dogs Trust,Dogs Trust,179
246973468695197,Pan Macmillan,Pan Macmillan,179
2114118688620707,Vote Marcel Laval for Pembroke St Mary's South & Monkton,Marcel Louis Laval,175
105020355506204,Tristan Davies for Abercraf and Ystradgynlais Ward,Mr Tristan Stuart Davies,175
427950024252508,Gower & Swansea Conservative Councillors,Gower & Swansea Welsh Conservatives,173
158714780827513,UNFPA,These ads ran without a disclaimer,172
1563885000341643,Pauls Personal Crafts,Paul Wilson,172
1390518424352554,Riverside / Pontcanna Community News,Riverside Labour Community News (http://www.riversidelabournews.com/),171
101915698384428,Eldred Law,Eldred Law,171
106946654868342,Water's Worth Saving,Water UK,170
1053507698044385,TINCTURE,These ads ran without a disclaimer,170
7950759473,Cancer Research UK,Cancer Research UK,169
11055104471,ONE,ONE,167
101400109195795,Ambiancesys Q,These ads ran without a disclaimer,166
1604790526203933,Aaron Wynne,Plaid Cymru,165
20298641808,Cardiff University Students' Union,Cardiff University Students' Union,165
116965184334608,May For Ukraine,The Drummer Agency,165
47496679743,The Climate Coalition,The Climate Coalition,163
157492274367801,Cruelty Free International,Cruelty Free International,163
101781491580545,Bank On Our Future,The Sunrise Project,161
110133689018711,Prostate Cancer Research,Prostate Cancer Research,160
1129925427115333,Vale of Glamorgan Labour Party,Alvin Kin Bing Shum,160
24496278123,Unilever,Unilever PLC,158
108385790816204,Oltco Ltd,Oltco Ltd,156
1586251881644270,Keir Starmer,The Labour Party,155
1432697460084695,Llandaff and Danescourt Labour,Peter Huw Jenkins,153
1850988528483461,Chris Newton,Christopher Steven Newton,152
112425884678878,Christoph Fischer County Council Candidate for Llandeilo and Dyffryn Cennen,Christoph Florian Fischer,151
112237974718604,Y Cyng/Cllr Paul Binning; Pontyclun East,Paul Daniel Binning,151
198449320562011,Gabalfa Labour Party,Leo Coker Holmes,150
1863944713844924,Best For Britain,Best for Britain,145
100714682581705,Lisvane and Thornhill Conservatives,Cardiff North Conservatives,143
2435680456708504,Path Financial,The Path Financial Ltd,143
