Page ID,Page name,Disclaimer,Amount spent (GBP)
112369024779977,"Gerald O'Connell, Scottish Family Party, Kinross-Shire Ward",Gerald Phillip Oconnell,≤100
131759943686870,Global Citizen,Global Citizen,≤100
426833727525567,Aran Curry Property Investor and Educator,These ads ran without a disclaimer,≤100
1639839762907640,Bettina's Kitchen,These ads ran without a disclaimer,≤100
352254431506201,Shout Out UK,Shout Out UK,≤100
106567718660133,Derek Louden,Mr Stephen John Chisholm,≤100
601698439965631,NTIA,Night Time Industries Association,≤100
25010947137,ShelterBox,ShelterBox,≤100
603389616739829,Bite Back 2030,Bite Back 2030,≤100
73621126187,Rosa,Rosa UK,≤100
1682367945366856,POWER Film,Daniel George Edelstyn,≤100
101700265787161,What's the story? Sounds,What's The Story Sounds,≤100
113403652027318,The Pavilion Theatre,These ads ran without a disclaimer,≤100
124329456353,Mencap,Mencap,≤100
320207347994434,Scotland Malawi Partnership,The Scotland Malawi Partnership,≤100
103578991715318,Omni,These ads ran without a disclaimer,≤100
889427091160230,Sally Cogley The Rubbish Party,Kris Nocker,≤100
100963722402072,Cllr Tim Pogson for Southside Newington,Timothy John Pogson,≤100
155791054542837,Davpack Packaging Supplies,Davpack,≤100
1444592122425077,Hope for the Future,Hope for the Future,≤100
2161807350747523,Gavin Berkenheger,Highland Conservatives,≤100
112482371099301,NUS UK - National Union of Students Campaigns,National Union of Students (United Kingdom),≤100
180770375305990,Genpact,Genpact Ltd,≤100
150546392113327,The Koin Club,These ads ran without a disclaimer,≤100
30661956224,The Leadmill,The Leadmill Ltd,≤100
643057169228509,FT Channels,Financial Times,≤100
110673704891717,Cowdenbeath SNP,Bailey Lee Robb,≤100
126966249559,Pilgrims Choice,Ornua Foods,≤100
106922775131870,East Neuk and Landward SNP,East Neuk and Landward SNP Branch,≤100
265465750722,Samaritan's Purse UK,These ads ran without a disclaimer,≤100
130723600338585,Ethex,Ethex UK,≤100
192464414215000,East Renfrewshire Conservatives,Paul  Smith,≤100
813362708790951,UBP - Union Bancaire Privée,UBP - Union Bancaire Privée,≤100
107667846010490,EMERGENCY NGO,EMERGENCY UK,≤100
101853135486843,Time For Real Change in Unison campaign,Time For Real Change,≤100
100460115820499,Recork,Recork,≤100
100562875359612,Berwick Upon Tweed Cares,Aid Alliance,≤100
794137867599859,Harry Christian - Scottish Libertarian,Mr Henry Thomas Christian,≤100
109303140903518,Keller Lenkner Data Breach,Keller Lenkner UK Ltd,≤100
100725702569887,John Ruddy for Montrose & District,John Patrick Ruddy,≤100
1651178698242263,Councillor Andrew Verrecchia,Louise Janet Noble,≤100
16553417732,UK Parliament,UK Parliament,≤100
6040534532,One Acre Fund,One Acre Fund,≤100
108289788007047,Let Us Pray,The Christian Institute,≤100
147815178569858,The Road Haulage Association,Agent,≤100
531603920185716,SPORF,These ads ran without a disclaimer,≤100
938719826182279,Councillor Paul Kelly - Motherwell West,James Paul Kelly,≤100
1493308197393374,Unison City of Edinburgh,Greig Kelbie,≤100
284245658291357,Leukaemia Care,Leukaemia Care,≤100
144881762696979,Cllr John Shaw,John Shaw,≤100
112403793494016,healthandcare.scot,John Norman Macgill,≤100
77071765498,Leonard Cheshire,These ads ran without a disclaimer,≤100
1703997926501590,Mercy Relief,Mercy Relief,≤100
275061964349252,Respectful Eggs,Respectful Eggs,≤100
110523678296977,Peter Coleman Independent Counciller,Peter Eric Coleman,≤100
2303250593259491,Coffee Logs,bio-bean,≤100
20665390582,Medical Aid for Palestinians,These ads ran without a disclaimer,≤100
131686740208092,Megaphone UK,Trades Union Congress (TUC),≤100
146853612068126,All-Energy,These ads ran without a disclaimer,≤100
102311055701954,Theo Stratton for the Black Isle,Theo Stratton for the Black Isle,≤100
303110523839487,Deena Tissera,Deena Dimple Tishani Tissera,≤100
202947753086324,Sikkens Vehicle Refinishes,Akzo Nobel N.V.,≤100
430016723726801,Business for Scotland,Business for Scotland,≤100
107057208562660,Saving Animals International,Saving Animals International,≤100
1486841851361953,Power for People,Corinna Quinn Miller,≤100
200434476717449,"Feniks. Counselling, Personal Development and Support Services Ltd","Feniks. Counselling, Personal Development and Support Services Ltd.",≤100
139574686231246,Department for Work and Pensions - DWP,These ads ran without a disclaimer,≤100
101508739003535,Councillor Lawrence Fitzpatrick,Scottish Labour,≤100
425316240854354,Edinburgh College Students' Association,Edinburgh College Students' Association,≤100
64955332909,Sage,Sage,≤100
46074836918,The Trussell Trust,Trussell Trust,≤100
104480482215502,Charlie Abel - Alba Party,Charles Gene Abel,≤100
477162078975536,Inclusion London,Jonathan Sam Abrams,≤100
1101082309961899,Cllr Hal Osler Inverleith,On behalf of Hal Osler (Scottish Liberal Democrats),≤100
164851239572,Women for Women International - UK,Women for Women International - UK,≤100
105708608727685,Sarah Quinn SNP,Sarah Isobel Quinn,≤100
102456249095472,Vote Alasdair MacPherson 1 on May 5th,Alasdair MacPherson,≤100
111244384340971,Support Domestic Workers,Wiego,≤100
110946038252026,Councillor Tommy Stewart - Montrose & District,Thomas Cameron Stewart,≤100
103559634900519,Oltco Ltd,Oltco Ltd,≤100
768842583163680,Cllr Andrew Polson for Bearsden South,Andrew Robertson Polson,≤100
5662929773,openDemocracy,openDemocracy,≤100
267923898389217,Hounded Campaign,Hounded Campaign,≤100
1008096762656223,North Edinburgh & Leith Liberal Democrats,Jack Robert M Caldwell,≤100
272614323114569,"Preston, Seton, Gosford and Fa'Side SNP",Alexander Mcdowall Paterson,≤100
103217955682737,Annette Smart SNP,Mr Duncan Charles L Taylor,≤100
1545511665561177,EcoVibe,Ecovibe,≤100
585253558594078,Police.uk,Police UK,≤100
134213516600832,Logistics UK,Logistics UK,≤100
218711018144616,Chris Packham,Chris Packham,≤100
241328659301444,Unison the union - fighting for Scottish Council Workers,Johanna Baxter,≤100
475968069168335,Hijobs,HIJOBS Limited,≤100
132190963515100,Over The Wall,Over The Wall,≤100
195047610583003,Ehem. MEP Josef Weidenholzer,These ads ran without a disclaimer,≤100
16352623251,Self Help Africa,Self Help Africa,≤100
96128889770,RNIB,RNIB,≤100
404148476593098,Cllr Lynsey Hamilton- Clydesdale West,South Lan Labour,≤100
103311825626093,Kirsten Roper for Perth City South,KIRSTEN FIONA R0PLR,≤100
321797171212522,James Calder,James Stuart Calder,≤100
