Page ID,Page name,Disclaimer,Amount spent (USD)
1925027940842417,Sara A. Carter,The Association of Mature American Citizens Inc,2366
428821014132730,Katie Porter,Katie Porter For Congress,2352
101785992341972,Spencer Deery for Indiana State Senate District 23,SPENCER DEERY FOR INDIANA,2337
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,2330
173822544692,Timothy Wesco,the Wesco Victory Committee,2325
109544898273802,Curtis Ward for Indiana State Representative District 55,Ward for State Representative,2299
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,2260
113036821307106,Matt Lehman for State Representative,Matt Lehman for State Representative Committee,2250
108277354196734,Jeter for Indiana,Jeter for Indiana,2250
1526363390998214,Dave Heine State Representative District 85,Citizens for Dave Heine,2250
438992792946961,Rep. Chris May,Chris May for Indiana,2250
369451818947,Ryan Lauer,Friends of Ryan Lauer,2250
528058301008627,Friends of Tim O'Brien,Friends of Tim O’Brien,2250
419870405093388,Dr. Brad Barrett for District 56,the Barrett Election Committee,2250
57259033959,AARP,AARP,2249
9891460873,WFYI,METROPOLITAN INDIANAPOLIS PUBLIC BROADCASTING INC,2247
106557738450944,US Guides. & Resources,Future Tech Product,2241
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,2239
100420388639135,Happy Home Lab,Happy Home Lab,2238
101069505589,American Association of Pro Life OB/GYNS,AAPLOG,2235
6500552187,Hulu,"HULU, LLC",2221
156968474833352,Stop Republicans,Stop Republicans,2176
109488134840917,Elect Kendell Culp,Elect Kendell Culp,2172
681626158940626,Mission Roll Call,Americas Warrior Partnership,2172
216397232833,Penzeys Spices,Penzeys Ltd,2168
103551512290168,Better Homeowner,Better Homeowner,2164
110666905614083,Dial,HENKEL CORP,2157
389643291372646,Jason Critchlow for Trustee,Elect Jason Critchlow,2155
100834729286261,"Forward Together, UCC","Forward Together, UCC",2139
6204742571,Sierra Club,SIERRA CLUB,2098
2602473023098666,Democratic Polling Center,Democratic Governors Association,2094
927949214025228,Betsy Mills for Indiana House District 54,Betsy for Indiana,2093
1428755447227803,Defend The Second,Next Level Goods,2076
112250574571671,Meltzer for Indiana,Meltzer for Indiana,2065
106568024842114,Rideshare Assault Support,Select Justice LLC,2054
