Page ID,Page name,Disclaimer,Amount spent (USD)
32252997166,American Dental Association,AMERICAN DENTAL ASSOCIATION,917
15771560300,Earthjustice,EARTHJUSTICE,914
65364914445,Oklahoma Council of Public Affairs,"OKLAHOMA COUNCIL OF PUBLIC AFFAIRS, INC.",907
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,903
1632814840319802,John Fetterman,Fetterman for PA,899
159658557547960,WSJ Opinion,The Wall Street Journal,897
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,893
100141185969300,Ukrainian Lives Matter,These ads ran without a disclaimer,868
123020996879,TechNet,These ads ran without a disclaimer,868
111814495650743,New Blue Interactive,New Blue Interactive,845
256043277748645,NetChoice,NETCHOICE,844
197669827395385,Connected Commerce Council,Connected Commerce Council,812
185740015159478,340B Matters,340B Matters,810
473191156175163,EDF Action,Environmental Defense Action Fund,786
143528022388140,The Allstate Foundation,The Allstate Foundation,780
431891506856669,Dove,Unilever,778
1435071773455316,Daily Wire,The Daily Wire,763
224110651893,International African American Museum,IAAM,759
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,756
134323820585259,Black Voters Matter,Black Voters Matter Fund Inc,726
129240690441636,The Legal Defense Fund,"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",721
7860876103,Joe Biden,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,716
491362440908122,The Beer Institute,BEER INSTITUTE,707
347063211984370,Fed of American Hospitals,FEDERATION AMERICAN HOSPITALS,706
302182941354,AARP Advocates,AARP,705
309308412520731,Sandy Hook Promise,Sandy Hook Promise,692
115590338084,Round House Theatre,Round House Theatre,680
7191206138,ASPCA,ASPCA,678
316768628476080,Cityzenith,CITYZENITH LLC,677
679171239164792,Supermajority,Supermajority,669
130945114804,World Jewish Congress,WORLD JEWISH CONGRESS AMERICAN SECTION INC,660
104419475285342,Common Sense Leadership Fund,Common Sense Leadership Fund Inc.,658
20531316728,Facebook App,"Facebook, Inc.",642
9427513649,WBUR 90.9 FM,WBUR,641
101432274722819,Bayne LLC,Bayne LLC,638
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,634
205980453430460,COAL + ICE,ASIA SOCIETY,633
878935975829857,Healthcare Supply Chain Association,Healthcare Supply Chain Association,618
40217893542,AIPAC,AIPAC,618
120638871319324,The Food Files,Food Marketing Institute,616
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,614
