Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
101132704939097,Portal RealTime1,REAL TIME 1,15200,416
367980806622995,Bruna Furlan Deputada Federal,Bruna Furlan,15184,92
865232070270799,Capitão Alberto Neto,Capitão Alberto Neto,15184,98
194227587378355,Rose Modesto,Deputada Federal Rose Modesto,15124,153
380752075612906,Deputado Cezar,Antonio da Rocha Marmo Cezar,15020,91
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,15004,68
396003260437808,Estevão Camolesi,Estevao Edmar Haddad Camolesi Junior,15000,6
187682584611376,Aureo Ribeiro,Aureo Ribeiro,14736,28
1598829670166145,Capitão Contar,Renan Barbosa Contar,14632,197
1931965243746616,Professora Rita Gonçalves,Inovart Cursos e Treinamentos,14344,103
514288185279959,Marcio Fernandes,Marcio Fernandes,14131,95
104486751876738,Tenente Coronel Zucco,Luciano Lorenzini Zucco,13882,172
237824856416624,Eduardo Salles,Eduardo Salles,13806,382
463747030352469,Guto Silva,Luiz Silva,13768,66
489012484462741,Abrasel,Abrasel,13700,19
670784836310449,Deputado Estadual Inácio Franco,Inacio Franco,13472,144
156404521189944,Prefeitura de Varginha,Prefeitura Municipal de Varginha,13451,54
109055221354055,Esfera Brasil,ESFERA ᴮᴿ,13393,223
596888410343196,Prefeitura de Atibaia,Prefeitura de Atibaia,13385,21
240383372683895,Renato Casagrande,José Renato Casagrande,13374,206
580813708692882,Davi Alcolumbre,Davi Alcolumbre,13329,37
1703010579956133,Eleições 2022 - Cursos Online,Curso Eleitoral,13326,28
237597346269787,Marco Bertaiolli,Marco Bertaiolli,13299,79
100270759072188,Gil Arantes,Gilberto Macedo Gil Arantes,13270,49
115230991849922,O Globo,Editora Globo,13252,21
193185607843864,Weliton Prado,Weliton Prado,13183,25
485172928255479,Extra Classe,Gilson Verani Freitas De Camargo,13140,172
347742876973,ADPF - Associação Nacional dos Delegados de Polícia Federal,Associação Nacional dos Delegados de Polícia Federal,13112,84
110393578218545,Saldão Nome Limpo,Adriele Silva,13047,211
223004697754861,Paulinho da Força,Paulinho da Força,12884,148
336339546417474,Ricardo Nicolau,Luís Ricardo Saldanha Nicolau,12869,39
2059469314104423,Coronel Henrique,Rodrigo Maximo,12840,46
130558143745099,Alex Manente,Alex Spinelli Manente,12818,286
677251269316998,Estação Rio,Hush Comunicação,12810,4
275510232497256,Tel Aviv University International,These ads ran without a disclaimer,12734,3
1069481486459981,Antídio Lunelli,Antídio Aleixo Lunelli,12729,309
266080903460734,Rosane Felix,Rosane Felix Do Nascimento Malta,12717,79
