Page ID,Page name,Disclaimer,Amount spent (USD)
58889234384,Planned Parenthood of Orange and San Bernardino Counties,Planned Parenthood of Orange and San Bernardino Counties,4002
11791104453,NRDC,NRDC Action Fund,3966
113553048669158,Rick Scott,RICK SCOTT FOR FLORIDA,3952
721266971604614,Alex Lee,Alex Lee for State Assembly,3918
157667060993359,Robert Garcia,ROBERT GARCIA FOR CONGRESS,3867
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,3863
27544763621,Prison Fellowship,Prison Fellowship,3855
162346547603209,Kevin McCarty,Kevin McCarty for Assembly 2022,3807
197908256931216,Tim Ryan,TIM RYAN FOR OHIO,3756
106131782026707,Floy4Assessor,Floy Andrews for Contra Costa County Assessor 2022,3743
1517919588502283,Christy Smith for Congress,CHRISTY SMITH FOR CONGRESS,3715
115057934426656,Mike Newhouse,NEWHOUSE FOR CITY COUNCIL 2022,3667
366741496830,Southern California Edison (SCE),Southern California Edison,3660
101006235920925,Paulette Chaffee for OC Board of Education,Paulette Chaffee for Orange County Board of Education Trustee Area 4 -2022,3646
104151054899518,ACLU California Action,ACLU California Action,3571
1639114853033755,Diane Papan,Diane Papan for Assembly 2022,3531
40217893542,AIPAC,AIPAC,3511
385473284886474,Hillsdale College,Hillsdale College,3505
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,3503
402131763219332,James Gallagher,Gallagher for Assembly 2022,3430
1593518174052711,Candace Owens,Daily Wire,3420
87186661244,Johns Hopkins Bloomberg School of Public Health,Johns Hopkins Bloomberg School of Public Health,3387
107210631946535,Very Savvy Savings,These ads ran without a disclaimer,3374
730989337612752,Shawn Collins for California,Shawn Collins for Governor 2022,3373
88853139067,Bera for Congress,BERA FOR CONGRESS,3352
107735888492845,James McGee for Judge 2022 Office #17,James McGee for Superior Court Judge 2022,3343
129657474897,Non-Profit Housing Association of Northern California,NON PROFIT HOUSING ASSOCIATION OF NORTHERN CALIFORNIA,3314
102454465463361,Chima for Congress,CHIMA FOR CONGRESS,3288
