Page ID,Page name,Disclaimer,Amount spent (USD)
300741223341315,NYU - CUNY Prevention Research Center,NYU-CUNY Prevention Research Center,714
1461100540775171,The Tuttle Twins,LIBERTAS INSTITUTE,712
106568024842114,Rideshare Assault Support,Select Justice LLC,710
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,706
318196171580489,Ron DeSantis,Friends of Ron DeSantis,691
558416317525208,For the Many,For the Many,686
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,685
579945178720985,Cheri Beasley,CHERI BEASLEY FOR NORTH CAROLINA,684
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",676
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,664
169597416843751,Stand Up America,Stand Up America,662
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,655
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,643
18780321251,American Chemistry,American Chemistry Council,626
112735922758892,Charlie Kirk,"ATK Media, Inc.",613
219242560293,Meals on Wheels America,Meals on Wheels,603
400851746967779,Nicole Malliotakis,NICOLE FOR NEW YORK,601
2170743379857378,George Santos for Congress NY-3,Devolder Santos for Congress,594
124955570892789,Bernie Sanders,Friends of Bernie Sanders,592
546643589052271,Sarah Godlewski,Sarah for Wisconsin,584
2353537341582545,Proud Patriots,Proud Patriots,581
369309166748535,Derek Utley,Tomer Barazani,573
585942765164217,Elect Democratic Women,ELECT DEMOCRATIC WOMEN,569
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",557
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,548
167586229923327,World Food Program USA,World Food Program USA,546
57495285387,Michael Bennet,Bennet for Colorado,545
90022052772,Williams,"WILLIAMS COMPANIES, INC., THE",541
429851780486352,Old Astoria Neighborhood Association,OLD ASTORIA NEIGHBORHOOD ASSOCIATION INC.,532
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",532
134535726580904,Maggie Hassan,Maggie for NH,529
12375354406,USO,United Service Organizations,524
42872222699,Dana Loesch,The Association of Mature American Citizens Inc,524
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,521
107005161695319,Herschel Walker,"TEAM HERSCHEL, INC.",520
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,517
107391351117812,National Women's Law Center Action Fund,National Women's Law Center Action Fund,516
542678889114683,The Coca-Cola Company,The Coca-Cola Company,515
158791100909689,Concerned Veterans for America,Concerned Veterans for America,513
103565195134756,America First Policy Institute,America First Policy Institute,508
46651378764,New-York Historical Society,"NEW-YORK HISTORICAL SOCIETY, THE",508
1650750011823701,NYS Senate Republican Campaign Committee,New York State Senate Republican Campaign Committee,495
51405613519,Focus on the Family,Focus on the Family,494
83836162093,"The Business Council of New York State, Inc.","The Business Council of New York State, Inc.",491
7263476274,Mercy Corps,Mercy Corps,488
49059279814,Institute for Justice,INSTITUTE FOR JUSTICE,487
1034683143215774,Assemblyman Phil Ramos,Angela Ramos,486
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,484
50982313030,Food & Water Watch,Food & Water Watch,483
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",480
844306012261691,Generation Yonkers,The City of Yonkers,471
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,471
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",468
102757624532911,NYC Mayor's Public Engagement Unit,NYC Mayor’s Public Engagement Unit,463
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,463
679171239164792,Supermajority,Supermajority,461
580610428636345,Fight for $15,Fight for $15,457
44224524016,American Kidney Fund,"AMERICAN KIDNEY FUND, INC.",454
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,452
121626482110,Operation Smile,OPERATION SMILE,452
219612384781411,Bloomberg Philanthropies,Bloomberg Philanthropies,450
316768628476080,Cityzenith,CITYZENITH LLC,450
37266625280,Marc Molinaro,MARC FOR US,450
376230165753126,HCTA-Hempstead Classroom Teachers Association,Hempstead Classroom Teachers Association (HCTA),446
104142543758770,Campaign Zero,We The Protesters,444
252814820267,HIAS,HIAS,444
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",442
74671163356,Smithsonian Channel,VIACOM INTERNATIONAL INC.,436
49651563727,Live Action,Live Action,431
67626834312,National Women's Law Center,National Women's Law Center,429
54172246106,Rand Paul,RAND PAUL FOR US SENATE,427
113581127016514,City of New York Government,City of New York,423
156532358266,Empire Center,Empire Center,422
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",417
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",415
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),414
154561574598964,White Coat Waste Project,THE WHITE COAT WASTE PROJECT INC,412
24470472733,The Trevor Project,The Trevor Project,410
36872302227,Cory Booker,CORY BOOKER FOR SENATE,408
765097033535684,Nova Ukraine,Nova Ukraine with Facebook ad credits,408
38897314734,Trust for Public Land,"TRUST FOR PUBLIC LAND, THE",407
443329669123990,USAFacts,USAFacts Institute,402
586963558438365,P-Valley,These ads ran without a disclaimer,402
159658557547960,WSJ Opinion,The Wall Street Journal,402
1576841435978886,Larry Sharpe,Larry Sharpe for Governor,397
