Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
995045460505806,Sacramento Metropolitan Chamber PAC,Sacramento Metropolitan Chamber PAC,2259,31
7192716362,Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",2256,67
195994800434559,San Manuel Band of Mission Indians,SAN MANUEL BAND OF MISSION INDIANS,2248,6
2212066245574161,Sarah Huckabee Sanders,Sarah for Governor,2246,3
40102638699,J Street,J Street Action Fund,2243,17
101958878206138,Peach State Values,Peach State Values PAC,2243,19
120945717945722,Uber,Uber,2232,12
104512738929881,Georgia Coalition for Job Creation,Georgia Coalition for Job Creation.,2205,14
124888234755542,Shri Thanedar,SHRI FOR CONGRESS,2191,8
18813753280,Human Rights Campaign,"HUMAN RIGHTS CAMPAIGN, INC",2181,128
105791402802932,Democratic Party of Georgia,Democratic Party of Georgia,2154,4
73528878871,Center for Reproductive Rights,Center for Reproductive Rights,2152,33
109976775025508,Fair Share for Massachusetts,RAISE UP MASSACHUSETTS 2022,2141,3
111199351501480,David Shepard for Senate,Shepard for Senate 2022,2130,24
104950742017496,Phil Sorrells for Tarrant County DA,Phil Sorrells for District Attorney,2105,13
103714308898952,Protect Our Future PAC,Protect Our Future PAC,2105,4
132066233534659,Healthcare Education Project,Healthcare Education Project,2100,55
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,2099,102
166935370075867,Senator Brian Dahle,Brian Dahle for Governor 2022,2099,23
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",2095,13
333673973391631,Butch Miller,BUTCH FOR GEORGIA,2082,7
8501031021,VoteVets.org,VOTEVETS,2070,14
7341997111,Conservation International,Conservation International,2057,79
201470373308396,BMO Harris Bank,BMO Harris Bank,2055,16
196395247518,Ned Lamont,NED FOR CT,2037,61
12375354406,USO,United Service Organizations,2017,129
5720973755,Defenders of Wildlife,DEFENDERS OF WILDLIFE,2012,23
36474716066,Color Of Change,ColorofChange.org,2011,3
104412595557198,Shawn Nelson for Judge 2022 ID #1382825,Shawn Nelson for Judge,2000,7
20787991568,Senate Democrats,DSCC,1996,103
219242560293,Meals on Wheels America,Meals on Wheels,1995,27
1005566252861190,VOTEPROCHOICE,DEMOCRATS.COM,1992,12
103373519004702,Environmental Solutions Coalition,Environmental Solutions Coalition,1985,50
116059863420828,Sam Yebri For Los Angeles City Council,Sam Yebri For Los Angeles City Council 2022,1984,28
128067600545091,Coalition for a Prosperous America,"COALITION FOR A PROSPEROUS AMERICA EDUCATION FUND, INC.",1984,3
2602473023098666,Democratic Polling Center,Democratic Governors Association,1983,76
101129598841978,Terry Wiley for DA,Terry Wiley for District Attorney 2022,1979,4
113728836935264,Steve Carey for County Commission,Carey for County Commisisoner,1972,33
250289965916061,Headway,These ads ran without a disclaimer,1969,4
109091404777130,Nick Melvoin for School Board,Nick Melvoin for School Board 2022,1941,3
156968474833352,Stop Republicans,Stop Republicans,1910,17
106120031829145,Community Safety Report,Truth in Numbers,1906,32
119707748062556,Ron Johnson,"RON JOHNSON FOR SENATE, INC",1903,20
1883837055193241,Shield Republic,Shield Republic,1886,89
107904733908466,Securing Our Future,Securing Our Future,1879,9
6817812700,Lee Zeldin,Zeldin for New York,1871,5
158791100909689,Concerned Veterans for America,Concerned Veterans for America,1862,14
99033391274,Brian Kemp,Kemp for Governor Inc,1847,21
933921763326425,Catherine Cortez Masto,CATHERINE CORTEZ-MASTO FOR SENATE,1821,231
100684991996307,November Coalition,NOVEMBER COALITION,1814,6
248922701788783,Henry Cuellar,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,1780,32
443329669123990,USAFacts,USAFacts Institute,1779,32
103175021296846,Save Our Planet,Sahak Nalbandyan,1760,5
227778385157,L.A. County Registrar-Recorder,The Los Angeles County Registrar-Recorder/County Clerk,1749,118
279602905840365,Bipartisan Policy Center Action,BPC Action,1748,3
83996318078,Change.org,"Change.org, PBC",1740,13
112642477582238,Mericanaf,AAF Nation,1734,45
322553044474863,Office of the Texas Secretary of State,Office of the Texas Secretary of State,1725,4
519590768083165,Abby Finkenauer for Senate,ABBY FOR IOWA,1717,31
22067606728,Allen West,The Association of Mature American Citizens Inc,1714,8
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",1712,64
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),1704,69
139655806061955,Doug Chaffee for O.C. Supervisor,Doug Chaffee for Orange County District 4 Supervisor 2022,1702,10
691607537673773,Chris Carr,Friends of Chris Carr,1702,6
111488048049065,Patrick Gurski for State Representative,Patrick Gurski for State Representative,1693,6
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,1682,47
176036105183,Los Angeles County Democratic Party,Los Angeles County Democratic Central Committee,1675,8
106057494680860,Greg Cook for Supreme Court,Greg Cook for Alabama Supreme Court,1672,30
129942417030331,Mendelson For Chairman,Mendelson for Chairman 2022,1667,35
121268821249550,World Central Kitchen,WORLD CENTRAL KITCHEN INC,1641,9
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",1641,21
85945492130,EnergyBoom,Energy Boom,1639,204
8325302025,Friends of the Earth U.S.,Friends of the Earth,1639,22
143195412381888,"Georgia Gun Owners, Inc.","Georgia Gun Owners, Inc",1637,15
894414900612887,William K. Boddie Jr.,"Boddie for GA, LLC.",1636,8
783753138471485,JB Pritzker,JB for Governor,1634,32
101497941620428,MolinaCares,The MolinaCares Accord,1600,39
290548664672,First Liberty,First Liberty Institute,1598,14
73478266116,Participant,"PARTICIPANT MEDIA, LLC",1596,36
6012633110,Communications Workers of America,"COMMUNICATIONS WORKERS OF AMERICA, AFL-CIO, CLC",1591,5
103579495612303,Protect Tribal Gaming,CALIFORNIANS FOR TRIBAL SOVEREIGNTY  SPONSORED BY THE SAN MANUEL BAND,1579,14
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",1575,19
169597416843751,Stand Up America,Stand Up America,1569,21
8492293163,Environmental Defense Fund,Environmental Defense Fund,1567,60
104184555633348,Cody Petterson for School Board,San Diego Education Association,1559,10
206677396413254,Abortion On Our Own Terms,Abortion On Our Own Terms,1557,6
263878310977179,Pete Flores for Texas Senate District 24,Pete Flores Campaign,1555,15
112425441094454,The Art of the Tweet,The Art of the Tweet LLC,1554,1
7191206138,ASPCA,ASPCA,1546,81
533987556776948,Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,1535,20
6236054211,Brady: United Against Gun Violence,Brady Campaign to Prevent Gun Violence,1531,9
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,1519,21
297987334762,Jamie Raskin,Jamie Raskin for Congress,1500,12
203998970095991,David Blair,David Blair for Montgomery,1499,19
25852730092,Care2,"Care2.com, Inc",1494,90
314499212242,Pfizer,Pfizer Inc.,1489,23
100548345633726,Community Conversations,Community Conversations: A Project for America,1488,29
107535171931690,Tim Michels,"Michels for Governor, Inc",1487,32
101431588985210,My Florida Green,FL Green Development LLC,1478,34
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,1471,120
717303634991131,Montanans for Liberty and Justice,Montanans For Liberty And Justice,1470,2
83290028957,Care Net,CARE NET,1453,215
114625730266879,The Republican Accountability Project,Defending Democracy Together,1452,30
495950117447546,Protect Freedom PAC,PROTECT FREEDOM POLITICAL ACTION COMMITTEE,1448,2
1714470218843866,Rep. Jack Bergman,Rep. Jack Bergman,1445,65
1957446251204909,Nikema Williams,"NIKEMA FOR CONGRESS, INC",1432,20
46053668697,ACLU of Northern California,"AMERICAN CIVIL LIBERTIES UNION OF NORTHERN CALIFORNIA, INC.",1430,2
114128055303516,ProgressNow New Mexico,ProgressNow New Mexico,1414,8
372922692828,SEIU-United Healthcare Workers West,SEIU United Healthcare Workers West Local 2005,1410,26
596782207169904,Kenneth Mejia,"Mejia for City Controller 2022, FPPC ID#: 1435234",1409,5
106053038702624,Know The Consequences: No on CI-121,Know The Consequences: No on CI-121,1408,9
115613890351673,Screaming Freedom Apparel,Screaming Freedom Apparel,1401,33
105576028300637,Building Back Together,Building Back Together,1394,146
200650357207240,I Love My Freedom,I Love My Freedom,1388,16
1805642669732730,Colton Moore,MOORE FOR GEORGIA,1376,9
515160855534095,Judge Debra Jones,Judge Debra Jones Campaign,1376,9
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,1374,17
11791104453,NRDC,NRDC Action Fund,1358,4
102245475209438,Green New Deal Network,Green New Deal Network,1353,45
120265096677128,Lindy Blanchard For Governor of Alabama,Lindy Blanchard for Governor,1352,5
135332839847855,Abortion Care Network,ABORTION CARE NETWORK,1352,14
107209354867129,Team Trimino,Anthony Trimino For Governor 2022,1346,16
17432811417,Working Families Party,Working Families Party,1344,1
100577781332391,Steve Padilla,Steve Padilla for State Senate 2022,1343,14
811705762276148,Burt Jones,Burt Jones for Georgia,1331,2
100852874648291,Mighty Michigan,American Culture,1328,8
112735922758892,Charlie Kirk,"ATK Media, Inc.",1327,19
77130778113,Coalition for Medicare Choices,The Coalition for Medicare Choices,1326,24
58736997707,Marco Rubio,Marco Rubio for Senate,1317,53
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",1317,9
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,1311,99
725736457444853,American Encore,American Encore,1307,1
1682876188698809,United for Respect,United for Respect,1296,19
59744530932,Habitat for Humanity of Greater Los Angeles,HABITAT FOR HUMANITY OF GREATER LOS ANGELES,1292,10
100741402225790,Quaye Quartey for Congress,QUARTEY FOR CONGRESS,1289,15
548407915183371,Liz Cheney,Liz Cheney for Wyoming,1274,8
134452023239984,Human Coalition,Human Coalition,1272,2
111824001908,Hakeem Jeffries,JEFFRIES FOR CONGRESS,1271,13
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,1271,15
665345483483486,NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,1269,110
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,1263,35
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,1260,60
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),1258,200
187005858017014,Climate Power,Climate Power,1257,2
103552914774916,Science Moms,Potential Energy Coalition Inc,1255,66
227594571444676,Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",1252,136
316768628476080,Cityzenith,CITYZENITH LLC,1249,30
102766768897346,Ben Chou for County Commissioner,Ben Chou for Texas,1245,48
112600915451330,No Labels,No Labels,1244,105
44224524016,American Kidney Fund,"AMERICAN KIDNEY FUND, INC.",1223,20
308890942864256,State Rep. Bee Nguyen,Bee for Georgia,1221,24
112190766925128,Marina A. Torres,Marina Torres for LA City Attorney,1214,15
103546351703577,Dallas Express,The Dallas Express,1213,98
90461584470,Marc Levine,Friends of Marc Levine,1213,41
114710126648118,Republican Dogs,Republican Dogs,1210,530
114197411271539,Brighter Chula Vista,"Residents for a Brighter Chula Vista, Supporting Amar Campa-Najar for Mayor 2022",1207,2
18983389920,Open Society Foundations,Open Society Foundations,1199,6
293807357774812,Run for Something Action Fund,Run For Something,1197,14
109544781549358,David Glasheen for State Representative HD 84,David Glasheen Campaign,1192,7
57495285387,Michael Bennet,Bennet for Colorado,1185,30
104447088162443,Choose Healthy Life,Choose Healthy Life,1184,48
542678889114683,The Coca-Cola Company,The Coca-Cola Company,1179,2
1934158976830122,Sean Casten for Congress,CASTEN FOR CONGRESS,1177,34
104979925498254,Vote Yes on D - San Franciscans for Victims' Rights,San Franciscans for Victims’ Rights Supporting Prop D,1174,36
104673965019490,Growing Almonds,ALMOND BOARD OF CALIFORNIA,1163,50
297989840794,Minnesota Budget Project,Minnesota Budget Project,1161,70
1680317612194647,Councilwoman Dev Davis for SJ Mayor,Dev Davis for San Jose Mayor 2022,1159,12
105355871121994,Indiana Unclaimed Property Division,"Office of the Indiana Attorney General, Unclaimed Property Division",1155,45
177551525610164,Jaime Herrera Beutler,Rep. Jaime Herrera Beutler,1135,9
101893089184653,Opportunity for All Action Fund,Opportunity for All Action Fund,1134,3
241672016328637,Lauren Underwood for Congress,LAUREN UNDERWOOD FOR CONGRESS,1131,3
101348995688583,Vidal Martinez for Harris County Judge,Vidal Martinez for Harris County Judge,1129,2
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",1119,48
24470472733,The Trevor Project,The Trevor Project,1119,4
163684173651518,SEIU Local 2015,SEIU LOCAL 2015,1117,15
112630550453402,Councilmember Avelino Valencia,Avelino Valencia for Assembly 2022,1108,12
102413723172970,Nick Adams,Nick Adams,1101,4
100765221381239,Dawn Addis for the Central Coast,Dawn Addis for Assembly 2022,1099,12
109386048011290,Stan Cooke,COOKE FOR AUDITOR,1096,1
1476623265909250,Chispa AZ,Chispa AZ,1091,6
1958912674200535,The Pour Over,Pour Over,1084,3
152759126824,Enbridge,Enbridge Inc.,1081,6
107507947852365,Nicole Horn For Georgia Labor Commissioner,Nicole Horn for Labor Commissioner,1080,19
101445435512612,"Coalition for Public Safety Reform, Training and Transparency","Coalition for Public Safety Reform, Training and Transparency",1079,1
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",1079,99
106687405264034,SEIU Community Clinic Workers United,SEIU Community Clinic Workers United,1079,26
102862295673242,Simon Silva For Chula Vista City Attorney,Simon Silva for Chula Vista City Attorney,1078,1
101135185691743,John Miller for Lt. Governor,John Miller for Nevada,1077,3
106922758429596,Ramit Varma for Mayor,VARMA FOR MAYOR 2022,1074,2
108248211758265,Bob Hertzberg for L.A. County Supervisor,Bob Hertzberg for Supervisor 2022,1068,1
50982313030,Food & Water Watch,Food & Water Watch,1065,25
166833599370,USCCA,USCCA,1063,11
167586229923327,World Food Program USA,World Food Program USA,1063,4
802271849850801,Freedom for All Americans,Freedom for All Americans,1062,58
34370387440,JDRF,JDRF INTERNATIONAL,1053,68
117437204982602,American Wild Horse Campaign,American Wild Horse Preservation Campaign,1045,8
102135909142078,Patrick Witt for Insurance Commissioner,Patrick Witt for Georgia,1044,6
192730325307,TobaccoFreeNYS,Tobacco Free New York State,1041,24
101384961651764,Louisiana Policy Review,Louisiana Policy Review,1039,2
100213732348106,David Lowe for Texas,David Lowe for Texas,1039,11
109058628313599,Catherine Smith for Judge,the Committee to Elect Catherine Mims Smith,1039,6
546643589052271,Sarah Godlewski,Sarah for Wisconsin,1036,39
100920475449911,Democrats Serve,Democrats Serve,1035,1
7263476274,Mercy Corps,Mercy Corps,1034,35
101922748750414,BRAVE Books,Brave Books LLC,1033,9
105094247772548,Legacy 44,Legacy 44 PAC,1031,8
104686911982045,Solar and Patio Pros,Energy Genesis Inc.,1029,3
681626158940626,Mission Roll Call,Americas Warrior Partnership,1029,34
1096348583725940,Lotsa Slots - Free Slots,These ads ran without a disclaimer,1024,3
101425915450284,Doyle Webb for Lieutenant Governor,Doyle Webb for Lieutenant Governor,1017,1
110355631674419,Working Californians For Hertzberg,Coalition of Working Cas & Public Safety in Support of Bob Hertzberg,1014,4
