Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
8501031021,VoteVets.org,"VoteVets Action Fund, Inc.",44022,4
829786213807107,"SC Johnson, A Family Company","S. C. Johnson & Son, Inc.",43518,40
103579495612303,Protect Tribal Gaming,CALIFORNIANS FOR TRIBAL SOVEREIGNTY  SPONSORED BY THE SAN MANUEL BAND,43476,32
104108325575401,Ron Hood & Candice Keller for Governor,HOOD KELLER FOR OHIO,43150,40
102261682386631,Roger Niello For California State Senate District 6,Roger Niello for Senate 2022,42754,32
103175021296846,Save Our Planet,Sahak Nalbandyan,42634,6
58736997707,Marco Rubio,Marco Rubio for Senate,42238,71
100684991996307,November Coalition,NOVEMBER COALITION,42131,30
109418838263843,Lew Burdette for Governor,LEWin22 For Governor,41769,63
117270568319993,NYSUT - A Union of Professionals,New York State United Teachers,41656,149
101431588985210,My Florida Green,FL Green Development LLC,41170,34
2043269359286235,Tobias Read,Friends of Tobias Read,41132,51
115050083954556,Faisal Gill for Los Angeles City Attorney,Faisal Gill for Los Angeles City Attorney,41106,3
933921763326425,Catherine Cortez Masto,CATHERINE CORTEZ-MASTO FOR SENATE,40834,488
107209354867129,Team Trimino,Anthony Trimino For Governor 2022,40681,127
1361240077226182,Seth Weathers,Michael Seth Weathers,40636,85
30139072158,CARE,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC. (CARE)",40524,187
101497941620428,MolinaCares,The MolinaCares Accord,40316,110
130268756992804,Yale Climate Connections,Yale Program on Climate Change Communication with Facebook Ad Credits,40179,25
83290028957,Care Net,CARE NET,40147,231
9182608316,California Democratic Party,CALIFORNIA DEMOCRATIC PARTY,40076,10
1374601146109275,French Hill for Arkansas,French Hill for Arkansas,39901,17
102851832441142,Vote Schubert for Attorney General,Peace Officers Research Association of California (PORAC) Statewide Independent Expenditure Committee.,39877,1
110177119192569,Knightscope,"Knightscope, Inc.",39823,22
100146652437834,Life is For Thriving,Life is For Thriving,39608,316
101704558574021,Lucas Kunce,Lucas Kunce for Missouri,39550,299
289446947817747,Global Citizen,"Global Poverty Project, Inc. DBA Global Citizen with Facebook Ad Credits",39243,4
57495285387,Michael Bennet,Bennet for Colorado,38933,161
114625730266879,The Republican Accountability Project,Defending Democracy Together,38665,82
7191206138,ASPCA,ASPCA,38568,140
286049384763373,Mike Crapo For U.S. Senate,MIKE CRAPO FOR US SENATE,38287,95
6817812700,Lee Zeldin,Zeldin for New York,38072,15
1925027940842417,Sara A. Carter,The Association of Mature American Citizens Inc,38063,8
100801038449520,Natural Allies for a Clean Energy Future,"Natural Allies, Inc.",38002,195
151119378313327,Tony Evers,Tony for Wisconsin,37850,185
405962819524364,Mike Collier,COLLIER COMMITTEE,37410,84
275737289197178,Dave White for Governor,Friends of Dave White,37333,22
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",37231,151
57259033959,AARP,AARP,37118,131
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,37003,148
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",36763,148
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,36762,67
102652189120937,Stop Cheri Beasley,NRSC,36518,15
60658764552,Workforce Fairness Institute,Workforce Fairness Institute,36476,89
134535726580904,Maggie Hassan,Maggie for NH,36438,209
133666160060982,Senate Majority PAC,SMP,36137,13
546643589052271,Sarah Godlewski,Sarah for Wisconsin,35806,189
995045460505806,Sacramento Metropolitan Chamber PAC,Sacramento Metropolitan Chamber PAC,35726,65
250289965916061,Headway,These ads ran without a disclaimer,35585,4
227594571444676,Building New York's Best,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",35432,356
83996318078,Change.org,"Change.org, PBC",35343,37
47710973068,Voices for Cooperative Power,Voices for Cooperative Power,35234,52
178549969355139,Smart Savings USA,These ads ran without a disclaimer,35167,2
85945492130,EnergyBoom,Energy Boom,35028,492
113578691341319,True Conservative Judges NC,True Conservative Judges,35000,9
93188136312,Physicians for Reproductive Health,"PHYSICIANS FOR REPRODUCTIVE HEALTH, INC.",34902,178
101445435512612,"Coalition for Public Safety Reform, Training and Transparency","Coalition for Public Safety Reform, Training and Transparency",34810,18
156968474833352,Stop Republicans,Stop Republicans,34733,46
18761899085,Nebraska Republican Party,Nebraska Republican Party,34663,26
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),34610,233
166618413413767,Jay Sekulow,American Center for Law and Justice,34511,122
43287633515,Action for the Climate Emergency,Action for the Climate Emergency,34505,235
227778385157,L.A. County Registrar-Recorder,The Los Angeles County Registrar-Recorder/County Clerk,34357,128
112190766925128,Marina A. Torres,Marina Torres for LA City Attorney,34343,35
138920486202280,VOTE411,League of Women Voters Education Fund,34332,161
210820618956311,Community Change Action,Community Change Action,34308,92
101135185691743,John Miller for Lt. Governor,John Miller for Nevada,34287,19
51379424899,Mercy Ships,MERCY SHIPS INTERNATIONAL,33892,92
100998472605427,American Policy Coalition,American Policy Coalition,33877,3
134983589848425,Brad Little for Governor,Brad Little for Governor,33557,252
11111618026,Union of Concerned Scientists,"UNION OF CONCERNED SCIENTISTS, INC.",33353,28
432386793516356,Tom Suozzi,Suozzi for NY,33207,8
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,33205,66
314499212242,Pfizer,Pfizer Inc.,33181,29
318196171580489,Ron DeSantis,Friends of Ron DeSantis,33177,584
112600915451330,No Labels,No Labels,33038,271
13365227077,Planned Parenthood Advocates of Wisconsin,Planned Parenthood Advocates of Wisconsin,33000,17
237477017606,Club for Growth,"CLUB FOR GROWTH, INC",32971,16
166935370075867,Senator Brian Dahle,Brian Dahle for Governor 2022,32877,193
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",32851,249
106582544906565,Maine Affordable Energy,Maine Affordable Energy,32567,30
107652595257859,Oregonians for Ethics,Oregonians for Ethics,32494,30
104673965019490,Growing Almonds,ALMOND BOARD OF CALIFORNIA,32477,80
542678889114683,The Coca-Cola Company,The Coca-Cola Company,32459,7
116059863420828,Sam Yebri For Los Angeles City Council,Sam Yebri For Los Angeles City Council 2022,32337,33
7263476274,Mercy Corps,Mercy Corps,32116,157
308890942864256,State Rep. Bee Nguyen,Bee for Georgia,32040,166
104295601633638,American Cornerstone Institute,American Cornerstone Institute Inc,32028,185
745304825534862,Steve Scalise,Team Scalise,31952,159
8325302025,Friends of the Earth U.S.,Friends of the Earth,31945,106
24470472733,The Trevor Project,The Trevor Project,31701,9
101606802493036,Taking Care of SA,Taking Care of SA,31460,11
177551525610164,Jaime Herrera Beutler,Rep. Jaime Herrera Beutler,31315,11
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,31101,40
219242560293,Meals on Wheels America,Meals on Wheels,31069,50
19219803864,Tax Foundation,Tax Foundation,31002,5
167586229923327,World Food Program USA,World Food Program USA with Facebook Ad Credits,30998,2
106120031829145,Community Safety Report,Truth in Numbers,30836,33
110555820407136,Carrie Lewis DelRosso for Lieutenant Governor,Friends of Carrie,30747,30
313842111853,Patrick McHenry,McHenry For Congress,30576,94
2423096511242288,Christina Stephenson for Oregon Labor Commissioner,Christina Stephenson for Oregon,30512,76
217695830922,Jim Renacci,RENACCI FOR OHIO,30465,33
101129598841978,Terry Wiley for DA,Terry Wiley for District Attorney 2022,30407,7
173517072696584,George P. Bush,George P Bush Campaign,30381,3
109743494487054,Common Ground AR,Common Ground Arkansas,30312,50
105228065418497,The Main Street Sentinel,The Main Street Sentinel,30221,391
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,30197,280
109681685006865,Affordable Health Savings,Braintrust Interactive,29985,71
166833599370,USCCA,USCCA,29943,20
46093654473,National Republican Congressional Committee,NRCC,29892,176
105355871121994,Indiana Unclaimed Property Division,"Office of the Indiana Attorney General, Unclaimed Property Division",29764,50
100154819369749,Eric Mattson For Senate,Friends for Eric Mattson,29560,4
293807357774812,Run for Something Action Fund,Run For Something,29507,23
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,29325,18
67626834312,National Women's Law Center,National Women's Law Center,29142,136
12301006942,Democratic Party,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,28888,1973
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",28801,172
110999658153990,Brandon Michon,BRANDON MICHON FOR VIRGINIA,28800,71
198024590300902,Josh Shapiro,Josh Shapiro,28641,25
124955570892789,Bernie Sanders,Friends of Bernie Sanders,28499,12
119707748062556,Ron Johnson,"RON JOHNSON FOR SENATE, INC",28493,58
316768628476080,Cityzenith,CITYZENITH LLC,28411,66
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,28408,61
203197030603239,8 Billion Trees,8 Billion Trees LLC,28399,26
226725488089980,Gary Rabine,Rabine for Governor,28375,58
129731810448375,Center Forward,Center Forward,28357,20
192730325307,TobaccoFreeNYS,Tobacco Free New York State,28235,128
106168648211897,Charles W. Herbster,Herbster for Nebraska,28129,51
8501031021,VoteVets.org,VOTEVETS,28056,16
115379705206001,U.S. Department of Homeland Security Blue Campaign,U.S Department of Homeland Security Blue Campaign,28044,78
314808986017,John Boozman,BOOZMAN FOR ARKANSAS,27967,23
144974848848368,Frank LaRose,LaRose for Ohio,27953,18
1714470218843866,Rep. Jack Bergman,Rep. Jack Bergman,27920,70
104856814505092,The Kids Guide,The Kids Guide,27765,8
104770455544627,Idahoans Against Extremism,Defend and Protect Idaho,27685,18
681626158940626,Mission Roll Call,Americas Warrior Partnership,27584,38
1428755447227803,Defend The Second,Next Level Goods,27431,135
1913007469025720,American Values First,AMERICAN VALUES FIRST,27391,18
121268821249550,World Central Kitchen,World Central Kitchen,27386,23
104686911982045,Solar and Patio Pros,Energy Genesis Inc.,27377,10
113778833499506,California Labor and Business Alliance,California Labor and Business Alliance,27344,158
110924734766613,Tim James For Governor,"Tim James Governor 2022, Inc.",27341,44
248922701788783,Henry Cuellar,TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,27303,74
7292655492,MoveOn,MOVEON.ORG CIVIC ACTION,27299,168
1587845658207917,Manufacturers United,National Association of Manufacturers,26912,34
746938465317981,Nuclear Matters,Nuclear Matters,26870,100
112425441094454,The Art of the Tweet,The Art of the Tweet LLC,26826,1
300992409852,Hoover Institution,Hoover Institution,26820,47
34370387440,JDRF,JDRF INTERNATIONAL,26694,73
