Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
316768628476080,Cityzenith,CITYZENITH LLC,101290,159
6817812700,Lee Zeldin,Zeldin for New York,101126,31
84177291169,"Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,100914,38
313018228713458,Developers Alliance,Application Developers Alliance,100627,608
300992409852,Hoover Institution,Hoover Institution,100520,92
275737289197178,Dave White for Governor,Friends of Dave White,100468,87
129731810448375,Center Forward,Center Forward,100000,22
106216341779798,Mobilize to keep loved ones safe,GOTVAX INC,99964,50
59826489083,SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,99021,158
156968474833352,Stop Republicans,Stop Republicans,98856,91
105096648830545,American Dream Federal Action,American Dream Federal Action. Not authorized by any candidate or candidate's committee.,98458,134
46743242445,Green Mountain Energy Company,Green Mountain Energy,98403,32
106953981943902,No on Ventura Measures A and B,"Stop Measures A & B – A Coalition of Working Families for Jobs and Energy Independence, Supported by Energy Producers. Committee major funding from Aera Energy and Chevron.",97882,100
61492859575,Americares,"Americares Foundation, Inc.",97353,245
111706908008520,Homeowner Savings,These ads ran without a disclaimer,96961,19
1925027940842417,Sara A. Carter,The Association of Mature American Citizens Inc,95828,32
166833599370,USCCA,USCCA,95172,28
104760636770,Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",95073,32
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",94957,299
933921763326425,Catherine Cortez Masto,CATHERINE CORTEZ-MASTO FOR SENATE,94028,876
1023516414456183,Drain the DC Swamp PAC,DRAIN THE DC SWAMP PAC,93733,40
546643589052271,Sarah Godlewski,Sarah for Wisconsin,93394,447
109513048125218,Ohioans for Free and Fair Elections,Ohioans for Free and Fair Elections,93223,18
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,93062,160
9062006483,REI,"RECREATIONAL EQUIPMENT, INC.",93000,15
108733284000016,Oklahoma Families for Affordable Health Care,Oklahoma Families for Affordable Health Care,92954,50
702582586516561,CBN Israel,"The Christian Broadcasting Network, Inc.",92000,236
105197428692975,Dave McCormick,McCormick for Senate,91822,336
13885075114,Action Against Hunger USA,ACTION AGAINST HUNGER - USA,91789,486
681626158940626,Mission Roll Call,Americas Warrior Partnership,91405,60
29717379728,International Justice Mission,International Justice Mission,91026,135
945443118979935,Safe Surgery Coalition,Safe Surgery Coalition,90841,80
7860876103,Joe Biden,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,90835,2713
673117639774135,Gretchen Whitmer,Gretchen Whitmer for Governor,90623,414
700806360047982,CFG Action,Club for Growth Action,90377,294
201470373308396,BMO Harris Bank,BMO Harris Bank,90149,20
112841831309523,Our American Real Estate,Our American - Real Estate,89860,1314
210820618956311,Community Change Action,Community Change Action,89487,194
12375354406,USO,United Service Organizations,89351,746
19972147679,SEIU,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),89321,373
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,89064,306
897994503631860,HealthInsurance.net,ASSURANCE IQ INC,88591,75
57259033959,AARP,AARP,88313,225
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",88266,243
121626482110,Operation Smile,OPERATION SMILE,88154,130
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,88110,54
100684991996307,November Coalition,NOVEMBER COALITION,88074,78
100852874648291,Mighty Michigan,American Culture,88068,38
18709174006,National Audubon Society,"NATIONAL AUDUBON SOCIETY, INC.",88005,1631
21375324480,The Heritage Foundation,HERITAGE FOUNDATION (THE),87685,527
42324160403,BET,VIACOM INC.,87570,16
473191156175163,EDF Action,Environmental Defense Action Fund,87532,74
542678889114683,The Coca-Cola Company,The Coca-Cola Company,87459,18
274122984393246,Americans For Hope And Progress,Americans For Hope And Progress,87294,458
109530971386075,Georgians First Leadership Committee,Georgians First Leadership Committee,86601,31
169597416843751,Stand Up America,Stand Up America,86358,103
6580173137,Alan Grayson,COMMITTEE TO ELECT ALAN GRAYSON,86330,144
104623832132932,Perry Johnson,Perry Johnson for Governor,86136,171
24470472733,The Trevor Project,The Trevor Project,85726,21
8057376739,The Nature Conservancy,NATURE CONSERVANCY,85558,176
261319066080,Americans for Prosperity - Ohio,AMERICANS FOR PROSPERITY,85197,10
110666905614083,Dial,HENKEL CORP,84999,3
105611098683081,The Georgia Report,Stacey Abrams for Governor,84814,289
120945717945722,Uber,Uber,83965,57
103500498972642,Insider,These ads ran without a disclaimer,83781,4
91346559231,Democratic Legislative Campaign Committee - DLCC,Democratic Legislative Campaign Committee,83656,447
168496243781414,Mayor Giselle Hale,Giselle Hale for Assembly 2022,82931,50
89742860745,NBC,These ads ran without a disclaimer,82837,6
197669827395385,Connected Commerce Council,Connected Commerce Council and American Edge Project,82325,72
