Page ID,Page name,Disclaimer,Amount spent (BRL)
268264450333693,Bruno Ganem SP.,Bruno Ganem,≤100
110199897254361,Vereadora Sandy de Paula,Sandy de Paula,≤100
101979505724519,Ciça Muller,Flavio Pavan,≤100
306946052788157,Luís Augusto Lara,Luís Augusto Lara,≤100
256764715265752,Fabinho Tardin,Jackyson Silva,≤100
816311855124885,Furlani,Luiz Antonio Furlani Filho,≤100
106841547806693,Progressistas - SRPQ,Manoel Pinto Da Silva Junior,≤100
1502057426674617,Wellington Moura,Wellington Moura,≤100
444666388930656,Francisco do PT,Francisco do PT,≤100
555593844558092,Julinho Fuzari,Julio Fuzari,≤100
100635145858028,Diego Vargas  broker,These ads ran without a disclaimer,≤100
112806380421491,Vereadora Alexandra Moreira,Alexandra Gomes,≤100
642175482545340,Bobô,Raimundo Nonato Tavares Da Silva,≤100
107915413979227,Manu Barros,These ads ran without a disclaimer,≤100
444666388930656,Francisco do PT,Francisco Assis de Medeiros,≤100
1787150861504440,Moisés Ferreira Vaz,Moisés Ferreira Vaz,≤100
196025943931014,Motta,Elaine Cristina Madalhano Nunes,≤100
1632211580342871,Arayara,These ads ran without a disclaimer,≤100
247474232366860,Ramon Dias Gidalte,These ads ran without a disclaimer,≤100
945429085469752,Tião Medeiros,Sebastião Henrique de Medeiros,≤100
210265295838150,Filósofo Alexandre Borges,Alexandre Borges,≤100
198244687300451,Radio Aurora,Germando Santos,≤100
116222263570277,Vereadora Verli do Povo,Verli Ribas Goncalves,≤100
105642148009671,Renato ArLivre,Renato Carlos Rodrigues Tosta,≤100
110504520771884,Vereador Fabio Chirinhan,Fabio Chirinhan,≤100
107846124337272,Jakson Marçal Silva,. JAKSON MARCAL SILVA,≤100
450314348332515,Litorânea 91.5,Organização Guaratubana de Comunicações,≤100
1369055973144375,Wellington José,Wellington Jose Da Silva,≤100
103119831394440,Byron Estrelas do Mar,Byron Virgilio dos Santos Silva,≤100
167729696658260,Napoleão Bernardes,Napoleao Bernardes Neto,≤100
104836378523440,Jurunense Home Center,These ads ran without a disclaimer,≤100
2284241985232988,Aparecido Davi,Aparecido Dos Santos,≤100
504148936286853,Data Goal,Data Goal,≤100
102300008272665,Douglas Dofu,Douglas Souza,≤100
101300488380142,Doutor Milton é Bolsonaro,These ads ran without a disclaimer,≤100
104904147942584,Andrey Dias,Andrey Fernando Dias,≤100
100229324876697,Cursinho do Bruno,These ads ran without a disclaimer,≤100
245318542845765,David Monteiro,David Monteiro De Melo,≤100
118498661982950,Edson PC,Edson Florindo Pereira,≤100
102264455737804,Sherife TopCanedo,These ads ran without a disclaimer,≤100
100328575160090,Daniel do Bem,Kenia Santos Barbosa Guedes,≤100
112329620303084,Capitão Souza,Carlos De Souza,≤100
379286655517152,Banco PAN,These ads ran without a disclaimer,≤100
114639845247715,Vilhena Silva Advogados Direito à Saúde,These ads ran without a disclaimer,≤100
185808278465175,Amadeu Campos,Amadeu Campos,≤100
813615022023685,Marcio Nunes,Marcio Nunes,≤100
108937060972726,Jornal Estância de Atibaia,Bruno Papini,≤100
337037286709086,Serra News,Serra News,≤100
225434300861371,Semana7,Ronan De Sa,≤100
119225184871764,Viacredi - Cooperativa de Crédito,These ads ran without a disclaimer,≤100
332441780842008,Norbertinho Moraes,Norberto Moraes,≤100
1876138525969921,Telma Nery,These ads ran without a disclaimer,≤100
106397645113276,RSC 287 TOTAL,Claudio Justino Spanhol,≤100
105844518414765,André Lajst,André Lajst,≤100
337249363028693,Cesar Silvestri Filho,Cesar Silvestri,≤100
1737877576459817,Leandro Neves,Leandro Neves,≤100
1178476208893889,Toledo e Associados,Toledo e Associados,≤100
685135528216748,Felipe Carreras,Felipe Carreras,≤100
113025407048427,Ouvidoria Vereador Leandro Félix,ATIVA ENERGY,≤100
101229865448798,Baiano do Cuxá,Joao Batista Dos Santos Junior,≤100
100481471619855,Marcos Lomeu,Marcos Lomeu De Miranda,≤100
102666711692400,Anderson Benevides,Anderson Benevides Dos Santos,≤100
577685762665275,Zé Dambrós,PSB Caxias do Sul,≤100
155201831260401,Pedro Uczai,Pedro Uczai,≤100
141745032513909,Rodrigo Bethlem,Rodrigo Bethlem,≤100
644767952255592,Hudson Leal,Hudson Leal,≤100
105778371255007,Adriano Mühlstedt,Adriano Marcus Muhlstedt,≤100
1779918118791799,Teresa Britto,Teresa Britto,≤100
